window,RMSSD
0,5.701
1,4.906
2,5.988
3,4.192
4,4.543
5,5.134
6,4.268
7,4.392
8,3.891
9,4.14
10,3.845
11,3.454
12,4.536
13,5.51
14,5.964
15,4.44
16,5.113
17,2.188
18,6.403
19,4.862
20,1.604
21,2.673
22,7.348
23,6.809
24,3.901
25,4.758
26,4.351
27,6.336
28,4.536
29,3.295
30,4.08
31,4.796
32,6.622
33,5.134
34,5.078
35,3.827
36,5.092
37,4.496
38,6.703
39,3.576
40,3.694
41,7.3
42,7.348
43,5.581
44,3.991
45,4.504
46,8.146
47,10.351
48,5.155
49,7.435
50,3.117
51,4.892
52,5.849
53,2.976
54,5.701
55,4.899
56,7.531
57,5.928
58,7.559
59,4.87
60,6.729
61,4.979
62,3.525
63,3.295
64,5.484
65,5.663
66,1.604
67,5.12
68,6.296
69,3.742
70,6.585
71,4.943
72,3.556
73,3.625
74,3.674
75,3.047
76,2.315
77,3.864
78,4.08
79,2.121
80,2.405
81,9.308
82,5.922
83,7.206
84,6.871
85,6.437
86,4.062
87,5.477
88,6.341
89,7.833
90,3.423
91,4.166
92,5.085
93,3.402
94,4.862
95,5.536
96,5.359
97,4.309
98,4.906
99,4.629
100,3.845
101,4.183
102,3.798
103,6.083
104,5.332
105,5.162
106,3.78
107,3.615
108,6.541
109,2.726
110,3.151
111,4.66
112,5.445
113,4.928
114,5.682
115,7.695
116,6.703
117,6.887
118,4.504
119,7.241
120,4.884
121,1.832
122,6.176
123,4.66
124,5.05
125,8.229
126,4.957
127,3.306
128,5.305
129,5.612
130,5.72
131,5.644
132,5.264
133,6.871
