window,RMSSD
0,9.636
1,9.957
2,5.952
3,11.016
4,9.487
5,5.503
6,6.923
7,9.758
8,7.545
9,8.018
10,12.045
11,10.869
12,7.897
13,5.064
14,5.278
15,7.819
16,8.988
17,6.386
18,5.952
19,5.484
20,5.224
21,7.392
22,6.124
23,5.849
24,10.64
25,7.156
26,7.106
27,3.515
28,4.301
29,6.193
30,9.071
31,8.328
32,6.164
33,8.128
34,5.72
35,14.328
36,4.598
37,5.251
38,6.969
39,9.4
40,4.08
41,6.279
42,5.464
43,8.242
44,9.787
45,5.471
46,5.503
47,5.392
48,3.665
49,9.75
50,5.458
51,4.862
52,7.171
53,6.902
54,5.568
55,8.972
56,7.865
57,8.272
58,10.145
59,7.176
60,5.982
61,8.238
62,11.145
63,7.658
64,6.375
65,4.583
66,7.787
67,3.751
68,8.936
69,6.761
70,4.698
71,10.275
72,7.344
73,6.897
74,7.464
75,10.464
76,11.257
