Match,Player,Max Heart Rate time,Min Heart Rate time,Max GSR time,Min GSR time,Match Duration,Heart rate % data present,GSR % data present,,Match,Heart rate team size,Missing player numbers,role,team,real_opponents,communication
match_0,player_0,957,0,956,0,957,1,0.998955068,,match_0,4,player_2,mid,amateurs,0,1
match_0,player_1,957,0,956,0,957,1,0.998955068,,match_1,4,player_2,mid,amateurs,1,1
match_0,player_2,,,956,0,957,0,0.998955068,,match_2,3,"player_0, player_2","top, mid",amateurs,0,0
match_0,player_3,957,0,956,0,957,1,0.998955068,,match_3,2,"player_0, player_1, player_2","top, adc, mid",amateurs,1,0
match_0,player_4,957,0,956,0,957,1,0.998955068,,match_4,5,none,,pros,0,1
match_1,player_0,1532,0,1531,0,1532,1,0.999347258,,match_5,5,none,,pros,1,1
match_1,player_1,1532,0,1531,0,1532,1,0.999347258,,match_6,5,none,,pros,0,0
match_1,player_2,,,1531,0,1532,0,0.999347258,,match_7,4,player_2,top,pros,1,0
match_1,player_3,1532,0,1531,0,1532,1,0.999347258,,match_8,4,player_2,top,pros,1,0
match_1,player_4,1532,0,1532,0,1532,1,1,,match_9,5,none,,pros,0,1
match_2,player_0,595,0,1071,0,1072,0.555037313,0.999067164,,match_10,5,none,,pros,1,1
match_2,player_1,1072,0,1071,0,1072,1,0.999067164,,match_11,5,none,,amateurs,1,0
match_2,player_2,,,1071,0,1072,0,0.999067164,,match_12,5,none,,amateurs,0,1
match_2,player_3,1072,0,1071,0,1072,1,0.999067164,,match_13,5,none,,amateurs,1,1
match_2,player_4,1072,0,1071,0,1072,1,0.999067164,,match_14,3,"player_0, player_3","mid, jungle",pros,1,1
match_3,player_0,,,1591,0,1592,0,0.999371859,,match_15,3,"player_0, player_3","mid, jungle",pros,0,1
match_3,player_1,23,0,1592,0,1592,0.014447236,1,,match_16,4,player_3,jungle,pros,1,0
match_3,player_2,,,1591,0,1592,0,0.999371859,,match_17,4,player_3,jungle,pros,0,0
match_3,player_3,1592,0,1591,0,1592,1,0.999371859,,match_18,5,none,,amateurs,1,1
match_3,player_4,1592,0,1591,0,1592,1,0.999371859,,match_19,4,player_4,top,amateurs,0,1
match_4,player_0,860,0,859,0,860,1,0.998837209,,match_20,5,none,,amateurs,1,0
match_4,player_1,860,0,859,0,860,1,0.998837209,,match_21,5,none,,amateurs,0,0
match_4,player_2,860,0,859,0,860,1,0.998837209,,,,,,,,
match_4,player_3,860,0,859,0,860,1,0.998837209,,,,,,,,
match_4,player_4,860,0,859,0,860,1,0.998837209,,,,,,,,
match_5,player_0,1006,0,1005,0,1006,1,0.999005964,,,,,,,,
match_5,player_1,1006,0,1005,0,1006,1,0.999005964,,,,,,,,
